Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
34,,,,,,,-119.84486738,34.41634151,-19.854,Global,3.8,0.012,0.012,0.016,0.017,1.945,m,FIX,RTK,2026-02-06 17:53:39.4 UTC-08:00,2026-02-06 17:53:39.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11264.000,P519_RTCM3,Global CS,8,6,4,5,0,Reach RX2,8243B70F5B178099
35,,,,,,,-119.84488580,34.41639025,-20.117,Global,7.0,0.012,0.012,0.014,0.017,1.945,m,FIX,RTK,2026-02-06 17:54:03.6 UTC-08:00,2026-02-06 17:54:03.6 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11259.810,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
36,,,,,,,-119.84483766,34.41651453,-20.172,Global,3.1,0.012,0.012,0.016,0.017,1.945,m,FIX,RTK,2026-02-06 17:59:44.0 UTC-08:00,2026-02-06 17:59:44.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11245.610,P519_RTCM3,Global CS,8,7,5,4,0,Reach RX2,8243B70F5B178099
37,,,,,,,-119.84491376,34.41654127,-20.304,Global,2.6,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:00:15.8 UTC-08:00,2026-02-06 18:00:15.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11245.910,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
38,,,,,,,-119.84488560,34.41652188,-20.198,Global,3.3,0.012,0.012,0.017,0.017,1.945,m,FIX,RTK,2026-02-06 18:00:39.0 UTC-08:00,2026-02-06 18:00:39.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11246.710,P519_RTCM3,Global CS,7,7,5,6,0,Reach RX2,8243B70F5B178099
39,,,,,,,-119.84498463,34.41656011,-20.179,Global,3.8,0.012,0.012,0.013,0.017,1.945,m,FIX,RTK,2026-02-06 18:00:53.8 UTC-08:00,2026-02-06 18:00:53.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11246.770,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
40,,,,,,,-119.84505358,34.41654491,-20.225,Global,5.2,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:01:05.6 UTC-08:00,2026-02-06 18:01:05.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11250.930,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
41,,,,,,,-119.84508580,34.41654799,-20.120,Global,5.5,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:01:15.4 UTC-08:00,2026-02-06 18:01:15.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11251.860,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
42,,,,,,,-119.84512843,34.41655396,-20.297,Global,7.9,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:01:29.2 UTC-08:00,2026-02-06 18:01:29.2 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11252.860,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
43,,,,,,,-119.84517188,34.41655840,-20.335,Global,7.1,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:01:41.4 UTC-08:00,2026-02-06 18:01:41.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11254.180,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
44,,,,,,,-119.84521219,34.41652799,-20.194,Global,12.2,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 18:01:50.6 UTC-08:00,2026-02-06 18:01:50.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11258.630,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
45,,,,,,,-119.84524479,34.41654045,-20.293,Global,10.1,0.012,0.012,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 18:02:08.0 UTC-08:00,2026-02-06 18:02:08.0 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11258.750,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
46,,,,,,,-119.84527215,34.41652455,-20.187,Global,11.6,0.013,0.013,0.014,0.018,1.945,m,FIX,RTK,2026-02-06 18:02:14.2 UTC-08:00,2026-02-06 18:02:14.2 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11261.360,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
47,,,,,,,-119.84531073,34.41652479,-20.236,Global,10.5,0.012,0.012,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 18:02:20.6 UTC-08:00,2026-02-06 18:02:20.6 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11262.920,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
48,,,,,,,-119.84535535,34.41652503,-20.233,Global,10.1,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 18:02:31.6 UTC-08:00,2026-02-06 18:02:31.6 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11264.690,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
49,,,,,,,-119.84540566,34.41652050,-20.228,Global,8.1,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:02:44.0 UTC-08:00,2026-02-06 18:02:44.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11267.260,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
50,,,,,,,-119.84544822,34.41650165,-20.211,Global,7.4,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:02:51.4 UTC-08:00,2026-02-06 18:02:51.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11270.810,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
51,,,,,,,-119.84547253,34.41648702,-20.221,Global,10.1,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 18:02:57.2 UTC-08:00,2026-02-06 18:02:57.2 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11273.210,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
52,,,,,,,-119.84549141,34.41646736,-20.259,Global,11.0,0.013,0.013,0.015,0.018,1.945,m,FIX,RTK,2026-02-06 18:03:03.0 UTC-08:00,2026-02-06 18:03:03.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11275.900,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
53,,,,,,,-119.84551429,34.41644912,-20.299,Global,10.0,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 18:03:10.0 UTC-08:00,2026-02-06 18:03:10.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11278.700,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
54,,,,,,,-119.84553479,34.41642751,-20.317,Global,7.5,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:03:19.2 UTC-08:00,2026-02-06 18:03:19.2 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11281.710,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
