Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
26,,,,,,,-119.84122238,34.41332667,-21.550,Global,15.3,0.014,0.014,0.019,0.019,1.945,m,FIX,RTK,2026-01-19 14:18:45.6 UTC-08:00,2026-01-19 14:18:45.6 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11431.410,P519_RTCM3,Global CS,8,6,6,4,0,Reach RX2,8243B70F5B178099
27,,,,,,,-119.84125496,34.41331584,-21.533,Global,12.0,0.013,0.013,0.018,0.019,1.945,m,FIX,RTK,2026-01-19 14:18:53.4 UTC-08:00,2026-01-19 14:18:53.4 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11433.420,P519_RTCM3,Global CS,8,6,7,4,0,Reach RX2,8243B70F5B178099
28,,,,,,,-119.84129172,34.41332573,-21.533,Global,14.8,0.015,0.015,0.020,0.021,1.945,m,FIX,RTK,2026-01-19 14:19:00.4 UTC-08:00,2026-01-19 14:19:00.4 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11433.820,P519_RTCM3,Global CS,8,6,6,4,0,Reach RX2,8243B70F5B178099
29,,,,,,,-119.84134000,34.41332808,-21.642,Global,9.0,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-01-19 14:19:08.2 UTC-08:00,2026-01-19 14:19:08.2 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11435.260,P519_RTCM3,Global CS,8,6,7,4,0,Reach RX2,8243B70F5B178099
30,,,,,,,-119.84138689,34.41334043,-21.599,Global,6.2,0.013,0.013,0.017,0.018,1.945,m,FIX,RTK,2026-01-19 14:19:15.4 UTC-08:00,2026-01-19 14:19:15.4 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11435.640,P519_RTCM3,Global CS,8,6,6,4,0,Reach RX2,8243B70F5B178099
31,,,,,,,-119.84149980,34.41341051,-21.446,Global,10.8,0.013,0.013,0.017,0.018,1.945,m,FIX,RTK,2026-01-19 14:19:44.0 UTC-08:00,2026-01-19 14:19:44.0 UTC-08:00,1,1.3,1.5,,,,-119.79242800,34.50781198,811.544,11432.410,P519_RTCM3,Global CS,5,5,3,3,0,Reach RX2,8243B70F5B178099
32,,,,,,,-119.84150522,34.41343287,-21.278,Global,12.3,0.013,0.013,0.017,0.018,1.945,m,FIX,RTK,2026-01-19 14:19:51.2 UTC-08:00,2026-01-19 14:19:51.2 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11430.630,P519_RTCM3,Global CS,7,4,3,4,0,Reach RX2,8243B70F5B178099
33,,,,,,,-119.84147749,34.41347645,-20.960,Global,13.3,0.013,0.013,0.019,0.018,1.945,m,FIX,RTK,2026-01-19 14:20:01.6 UTC-08:00,2026-01-19 14:20:01.6 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11425.320,P519_RTCM3,Global CS,7,6,4,3,0,Reach RX2,8243B70F5B178099
34,,,,,,,-119.84142967,34.41349755,-20.877,Global,12.8,0.013,0.013,0.016,0.018,1.945,m,FIX,RTK,2026-01-19 14:20:11.6 UTC-08:00,2026-01-19 14:20:11.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11421.400,P519_RTCM3,Global CS,6,2,4,3,0,Reach RX2,8243B70F5B178099
35,,,,,,,-119.84136789,34.41350725,-20.898,Global,18.1,0.013,0.013,0.017,0.019,1.945,m,FIX,RTK,2026-01-19 14:20:26.0 UTC-08:00,2026-01-19 14:20:26.0 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11418.290,P519_RTCM3,Global CS,8,5,7,3,0,Reach RX2,8243B70F5B178099
